trip_start_timestamp,trip_end_timestamp,fare,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude
12/31/2016 22:15,12/31/2016 22:30,5.75,41.87400538,-87.66351755,41.9442266,-87.65599818
12/31/2016 18:00,12/31/2016 18:15,12.0,41.92268628,-87.64948873,41.89960211,-87.63330804
12/31/2016 22:30,12/31/2016 22:45,23.0,41.92268628,-87.64948873,42.00157103,-87.69501259
12/31/2016 13:30,12/31/2016 13:45,11.25,41.92268628,-87.64948873,41.90120699,-87.67635599
12/31/2016 3:30,12/31/2016 3:45,9.0,41.92268628,-87.64948873,41.94779159,-87.68383494
12/31/2016 12:15,12/31/2016 12:45,39.0,41.98026432,-87.91362459999999,41.9442266,-87.65599818
12/31/2016 23:45,12/31/2016 23:45,5.25,41.9442266,-87.65599818,41.9442266,-87.65599818
12/31/2016 19:30,12/31/2016 19:30,4.5,41.96581197,-87.65587879,41.96581197,-87.65587879
12/31/2016 23:00,12/31/2016 23:00,8.0,41.9442266,-87.65599818,41.92268628,-87.64948873
12/31/2016 11:00,12/31/2016 11:00,3.25,42.00157103,-87.69501259,42.00157103,-87.69501259
12/31/2016 1:30,12/31/2016 1:45,5.75,41.79259236,-87.76961545,41.79259236,-87.76961545
12/31/2016 1:00,12/31/2016 1:15,18.0,41.92268628,-87.64948873,41.85026637,-87.66756931
12/31/2016 1:45,12/31/2016 1:45,7.75,41.90120699,-87.67635599,41.90120699,-87.67635599
12/31/2016 17:30,12/31/2016 17:30,4.5,41.986711799999995,-87.66341641,41.986711799999995,-87.66341641
12/31/2016 22:45,12/31/2016 22:45,4.25,41.89321636,-87.63784421,41.89204214,-87.63186395
12/31/2016 19:00,12/31/2016 19:15,13.25,41.87886558,-87.62519214,41.96581197,-87.65587879
12/31/2016 13:45,12/31/2016 14:00,9.5,41.92726096,-87.76550161,41.92726096,-87.76550161
12/31/2016 9:45,12/31/2016 10:15,43.0,41.89960211,-87.63330804,41.71749304,-87.64889507
12/31/2016 10:30,12/31/2016 10:30,7.75,41.87886558,-87.62519214,41.87886558,-87.62519214
